prompt_id,task_type,model,score,pass,input_tokens,output_tokens,cost_usd,latency_ms
sum-01,summarization,claude-haiku-4-5,8,true,133,128,0.000773,2828
sum-01,summarization,claude-sonnet-4-6,8,true,134,104,0.001962,2404
sum-01,summarization,gpt-4o-mini,10,true,125,100,0.000079,2605
sum-02,summarization,claude-haiku-4-5,10,true,114,65,0.000439,1337
sum-02,summarization,claude-sonnet-4-6,10,true,115,68,0.001365,2272
sum-02,summarization,gpt-4o-mini,10,true,113,66,0.000057,1491
sum-03,summarization,claude-haiku-4-5,9,true,116,135,0.000791,1853
sum-03,summarization,claude-sonnet-4-6,10,true,117,144,0.002511,4062
sum-03,summarization,gpt-4o-mini,10,true,108,93,0.000072,1665
sum-04,summarization,claude-haiku-4-5,9,true,116,115,0.000691,1872
sum-04,summarization,claude-sonnet-4-6,10,true,117,106,0.001941,3103
sum-04,summarization,gpt-4o-mini,10,true,109,97,0.000075,2025
sum-05,summarization,claude-haiku-4-5,9,true,116,93,0.000581,1790
sum-05,summarization,claude-sonnet-4-6,9,true,117,108,0.001971,3430
sum-05,summarization,gpt-4o-mini,9,true,110,72,0.000060,1648
code-01,code-generation,claude-haiku-4-5,10,true,67,360,0.001867,2316
code-01,code-generation,claude-sonnet-4-6,10,true,68,320,0.005004,5403
code-01,code-generation,gpt-4o-mini,10,true,62,135,0.000090,4658
code-02,code-generation,claude-haiku-4-5,9,true,83,394,0.002053,3166
code-02,code-generation,claude-sonnet-4-6,10,true,84,598,0.009222,10344
code-02,code-generation,gpt-4o-mini,9,true,78,328,0.000208,4214
code-03,code-generation,claude-haiku-4-5,9,true,86,518,0.002676,3339
code-03,code-generation,claude-sonnet-4-6,10,true,87,667,0.010266,11591
code-03,code-generation,gpt-4o-mini,10,true,78,358,0.000226,4925
code-04,code-generation,claude-haiku-4-5,9,true,69,1006,0.005099,5953
code-04,code-generation,claude-sonnet-4-6,10,true,70,1024,0.015570,13914
code-04,code-generation,gpt-4o-mini,9,true,68,406,0.000254,7654
code-05,code-generation,claude-haiku-4-5,9,true,67,569,0.002912,4400
code-05,code-generation,claude-sonnet-4-6,8,true,68,1024,0.015564,16288
code-05,code-generation,gpt-4o-mini,8,true,67,301,0.000191,4620
reas-01,reasoning,claude-haiku-4-5,10,true,63,282,0.001473,2225
reas-01,reasoning,claude-sonnet-4-6,10,true,64,354,0.005502,6189
reas-01,reasoning,gpt-4o-mini,10,true,65,448,0.000279,7922
reas-02,reasoning,claude-haiku-4-5,10,true,62,414,0.002132,3318
reas-02,reasoning,claude-sonnet-4-6,9,true,63,407,0.006294,6508
reas-02,reasoning,gpt-4o-mini,10,true,59,600,0.000369,10550
reas-03,reasoning,claude-haiku-4-5,8,true,53,332,0.001713,4203
reas-03,reasoning,claude-sonnet-4-6,10,true,54,352,0.005442,8257
reas-03,reasoning,gpt-4o-mini,10,true,55,297,0.000186,5098
reas-04,reasoning,claude-haiku-4-5,10,true,66,355,0.001841,3457
reas-04,reasoning,claude-sonnet-4-6,9,true,67,403,0.006246,8400
reas-04,reasoning,gpt-4o-mini,8,true,70,329,0.000208,6252
reas-05,reasoning,claude-haiku-4-5,10,true,74,400,0.002074,4146
reas-05,reasoning,claude-sonnet-4-6,10,true,75,456,0.007065,9192
reas-05,reasoning,gpt-4o-mini,10,true,71,461,0.000287,6450
ext-01,data-extraction,claude-haiku-4-5,10,true,96,87,0.000531,900
ext-01,data-extraction,claude-sonnet-4-6,10,true,97,89,0.001626,1947
ext-01,data-extraction,gpt-4o-mini,10,true,95,70,0.000056,1842
ext-02,data-extraction,claude-haiku-4-5,8,true,106,165,0.000931,1347
ext-02,data-extraction,claude-sonnet-4-6,9,true,107,171,0.002886,2631
ext-02,data-extraction,gpt-4o-mini,10,true,106,119,0.000087,2054
ext-03,data-extraction,claude-haiku-4-5,10,true,95,139,0.000790,1032
ext-03,data-extraction,claude-sonnet-4-6,10,true,96,199,0.003273,3915
ext-03,data-extraction,gpt-4o-mini,10,true,91,90,0.000068,1860
ext-04,data-extraction,claude-haiku-4-5,10,true,103,139,0.000798,1307
ext-04,data-extraction,claude-sonnet-4-6,10,true,104,138,0.002382,2187
ext-04,data-extraction,gpt-4o-mini,10,true,99,113,0.000083,2975
ext-05,data-extraction,claude-haiku-4-5,10,true,88,82,0.000498,827
ext-05,data-extraction,claude-sonnet-4-6,10,true,89,284,0.004527,5392
ext-05,data-extraction,gpt-4o-mini,10,true,86,66,0.000053,1419
